"type","sub_type","sqft","baths","beds","stories","year_built","listPrice"
"condos","condo","1268","2","3","1","2002","199900"
"condos","condo","969","2","2","7","1985","119900"
"single_family",,"2181","3","3","2",,"100000"
"single_family",,"2083","2","3",,"1983","309900"
"land",,,"0",,,,"1000"
"land",,,,,,,"27500"
"land",,,"0",,,,"49000"
"land",,,"0",,,,"1000"
"single_family",,"1200","1","3","1",,"63000"
"single_family",,"1104","2","2","1","1974","79900"
"land",,,"0",,,,"1000"
"land",,,,,,,"35000"
"single_family",,"1236","2","3","2",,"50000"
"land",,,"0",,,,"1000"
"land",,,"0",,,,"33500"
"land",,,,,,,"28000"
"land",,,"0",,,,"76700"
"single_family",,"1564","3","3","2","1989","705000"
"single_family",,"774","1","2","1","1940","5000"
"land",,,"0",,,,"45000"
"single_family",,"920","1","3",,"1953","168000"
"condos","condo","1200","2","3","1","1985","98500"
"single_family",,"1482","2","3","1","1968","225000"
"single_family",,"1654","5","5","2","2024","829000"
"single_family",,"2566","3","4",,"1995","344900"
"condos","condo","400","1",,"7","1977","55000"
"single_family",,"2297","3","4","2","1936","84000"
"single_family",,"1600","2","3","1","1950","62500"
"single_family",,"1509","2","2","1","1956","85000"
"single_family",,"2142","3","4",,"1960","99000"
"single_family",,"2095","3","4","2","2022","234750"
"single_family",,"1350","2","3","1","1952","75000"
"single_family",,"1285","1","3",,"1960","65000"
"condos","condo","678","1","2","1","1980","149500"
"single_family",,"1319","2","3","2","2001","270250"
"single_family",,"1750","2","4","1","1960","72000"
"condos","condo","969","2","2","7","1985","140000"
"single_family",,"1999","3","5","1","1984","154900"
"single_family",,"1635","3","3","1","1985","125000"
"single_family",,"975","2","2","1","2017","185000"
"single_family",,"1636","2","3","1","1972","125000"
"condos","condo","581","1","1","7","1987","120000"
"single_family",,"1529","2","4",,"2009","130000"
"single_family",,"3000","3","5","1","2005","169000"
"single_family",,"1065","1","3","1",,"219900"
"single_family",,"1600","3","3","2","1956","1"
"single_family",,"1536","3","3","1","1985","135000"
"condos","condo","1500","2","2",,,"99000"
"condos","condo","400","1",,"1","1977","59900"
"single_family",,"1600","2","3",,"1962","135000"
"single_family",,"2876","2","3","1","1930","81400"
"condos","condo","999","2","2",,"1987","340000"
"single_family",,"2000","3","4","2",,"325000"
"single_family",,"2293","3","4","2",,"135000"
"condos","condo","1500","2","2",,,"225900"
"land",,,,,,,"8500"
"single_family",,"1992","3","4",,"2008","265000"
"single_family",,"1630","2","3","1","2013","215000"
"single_family",,"1210","2","2",,,"242500"
"land",,,"0",,,,"7999"
"land",,,"0",,,,"10000"
"single_family",,"1642","2","4",,"1940","89900"
"condos","condo","922","2","2",,"1979","225000"
"condos","condo","703","1","2","2","1983","279500"
"single_family",,"972","1","3","1","1966","109900"
"single_family",,"1917","2","2","1",,"155000"
"condos","condo","1033","2","2","7","1994","294900"
"single_family",,"1920","3","4","2","2007","449900"
"single_family",,"3221","4","5","2","2020","515000"
"single_family",,"2658","3","4","2","1999","585000"
"condos","condo","1651","3","3","2","2016","298000"
"single_family",,"1358","2","3","1","2012","329900"
"single_family",,"1660","3","4","2","1997","355500"
"single_family",,"828","1","2",,"1974","94999"
"single_family",,"3033","4","3","2","1960","790000"
"single_family",,"1223","2","4",,"1981","175000"
"single_family",,"1300","2","3","1","2001","335000"
"condos","condo","1100","2","2","1","1998","160000"
"single_family",,"1877","3","4","1","1997","330000"
"single_family",,"1276","2","3","2","1988","225000"
"condos","condo","701","1","1","1","1985","239000"
"single_family",,"1640","2","3","1","2025","390000"
"land",,,"0",,,,"15000"
"single_family",,,"1","2","1",,"50000"
"single_family",,"1531","2","3","1","2006","195000"
"single_family",,"2537","2","3",,"2002","450000"
"single_family",,"1150","1","2","1","1965","85000"
"single_family",,"2700","4","4",,"2000","400000"
"single_family",,"1900","2","2",,"1954","42500"
"condos","condo","1031","2","2","12","1965","325000"
"single_family",,"1247","2","2","1","1986","40000"
"single_family",,"911","0","2",,"1911","5000"
"single_family",,"1347","2","3",,"2002","450000"
"townhomes","townhouse","1293","2","2","1","1992","198000"
"land",,,"0",,,,"1000"
"single_family",,"2187","3","4","2","2004","620000"
"land",,,"0",,,,"150000"
"land",,,"0",,,,"30000"
"condos","condo","2514","4","3","1","1979","350000"
"single_family",,"825","1","2","1","1950","55000"
"land",,,"0",,,,"114000"
"condos","condo","980","2","3","2","1984","124900"
"single_family",,"1704","3","4",,"1977","125000"
"townhomes",,"1518","3","3",,,"199990"
"land",,,"0",,,,"12000"
"townhomes","townhouse","1950","3","3","2",,"360000"
"single_family",,"900","2","2","1","2025","150000"
"condos","condo","922","2","2","1","1979","268900"
"single_family",,"1900","2","3","1","1999","360000"
"single_family",,,"0","0",,,"5000"
"land",,,"0",,,,"105000"
"condos","condo","606","1","1","1","2007","144900"
"land",,,,,,,"130000"
"single_family",,"2100","2","3",,"1952","229500"
"land",,,"0",,,,"9000"
"multi_family",,"2456","4","6","2","1984","220000"
"condos","condo","720","2","2","1","1976","199400"
"single_family",,"1451","2","3",,"1981","234000"
"single_family",,"2391","3","3","2","2000","925000"
"townhomes","townhouse","1560","2","3","2","2003","273900"
"single_family",,"2700","3","4","2","1986","299000"
"condos","condo","864","2","2","2","1979","230000"
"land",,,"0",,,,"4000"
"single_family",,"1734","4","3","2","2007","559000"
"townhomes","townhouse","2477","4","4",,,"624900"
"single_family",,"3731","3","4","2","1970","198000"
"land",,,"0",,,,"5000"
"land",,,"0",,,,"120000"
"single_family",,"1620","2","3","1","2023","339900"
"single_family",,"2847","3","4","2","2005","389000"
"single_family",,"1560","2","3","1","1984","150000"
"single_family",,"1008","2","2","1","1967","86000"
"condos","condo","1010","2","2","2","1987","150000"
"land",,,"0",,,,"399900"
"single_family",,"1152","2","4","1","1989","41000"
"land",,,"0",,,,"55000"
"single_family",,"1450","2","3",,,"302000"
"single_family",,"3255","3","3","2","1983","1449000"
"single_family",,"1600","3","4","1","1984","229999"
"single_family",,"3206","3","3","1","2009","659000"
"land",,,"0",,,,"9500"
"single_family",,"1556","2","3","1","2009","166950"
"single_family",,"2708","3","6","2","1972","340000"
"land",,,,,,,"15000"
"single_family",,"2960","4","5","2","2007","345000"
"condos","condo","896","2","2","1","1994","100000"
"single_family",,"2124","3","4","1",,"175000"
"single_family",,"4637","5","4","4","1802","6980000"
"single_family",,"2667","4","4","2","2007","539000"
"single_family",,"1456","2","3",,"1995","189900"
"condos","condo","1601","2","2","1","2006","350000"
"land",,,"0",,,,"1000"
"townhomes","townhouse","1247","2","2",,"1986","40000"
"condos","condo","1237","2","2","1","1977","145000"
"farm",,,,,,,"250000"
"single_family",,"1303","2","3","1","1988","258500"
"single_family",,"1692","2","4","1","2007","259000"
"single_family",,"1800","2","3","1","2005","205000"
"single_family",,"2129","3","4","2","2010","269000"
"single_family",,"2971","4","6","2","2006","245000"
"land",,,"0",,,,"40000"
"single_family",,"2583","3","5","2","2018","640000"
"condos","condo",,"1","1","1","1967","66900"
"single_family",,"1833","2","3","1",,"136900"
"land",,,"0",,,,"99000"
"single_family",,"2020","4","4","2","1986","349000"
"land",,,"0",,,,"7000"
"single_family",,"3109","7","6","2","2005","225000"
"condos","condo","1622","3","3","2","1984","269900"
"single_family",,,"3","6","2","1900","135000"
"land",,,"0",,,,"5900"
"single_family",,"3537","3","4","1",,"600000"
"single_family",,"2550","5","6","1","2000","900000"
"single_family",,"2217","3","4","3","1957","250000"
"single_family",,"3840","4","4",,,"1250000"
"single_family",,"1653","3","4","2",,"230000"
"single_family",,"1593","2","3","1","1965","139900"
"single_family",,"1007","1","3","1","1965","62000"
"land",,,,,,,"29999"
"single_family",,"1694","3","3","2","2007","585000"
"land",,,"0",,,,"59900"
"single_family",,"1406","2","3",,,"340000"
"land",,,"0",,,,"185000"
"single_family",,"2524","3","5","1","1966","164900"
"single_family",,"1410","2","3","1","1979","195000"
"multi_family",,"1530","2","3","2","1940","699000"
"single_family",,"2381","2","3","1","1986","285000"
"single_family",,"2261","3","4","2","2018","525000"
"single_family",,"2210","3","3","2","1974","529500"
"single_family",,"1724","2","3","1","1968","215000"
"single_family",,"1934","2","3","1","2003","385000"
"single_family",,"2697","3","4","2","1959","379900"
"single_family",,"3474","5","5","2","2026","1872000"
"single_family",,"1346","1","3",,"1971","55000"
"single_family",,"1473","2","3","1",,"105000"
"single_family",,"636","1","2",,"1949","19500"
"land",,,"0",,,,"1000"
"land",,,"0",,,,"50000"
"townhomes","townhouse","1012","3","2","2","2006","170000"
"single_family",,,"2","3","1","2004","1"
"single_family",,"656","1","2","1","2008","214900"
"single_family",,"1692","2","3","2","1983","234500"
"single_family",,"1540","3","3","2","2025","453000"
"single_family",,"2184","2","3","2",,"290000"
"single_family",,"1319","2","3","1","1991","199900"
"land",,,"0",,,,"40000"
"land",,,"0",,,,"1000"
"single_family",,"1251","2","2","1","2001","199000"
"land",,,"0",,,,"52950"
"land",,,"0",,,,"225000"
"land",,,"0",,,,"2000"
"single_family",,"1577","4","3","2","1986","225000"
"single_family",,"2143","2","4","1","1969","325000"
"single_family",,,"1","2","1",,"89900"
"single_family",,,"1","2","1","1939","1"
"single_family",,"1256","2","3","1","2006","154900"
"condos","condo","1120","2","2","1","2001","390000"
"single_family",,"1088","2","3","1","1977","249900"
"land",,,"0",,,,"89900"
"single_family",,"1803","3","3","2","2025","385000"
"condos","condo","1051","2","2","1","1987","334000"
"single_family",,"1413","1","2","1","1955","152000"
"single_family",,"3651","2","3","1","2002","539000"
"single_family",,"1900","2","4",,"1978","249900"
"condos","condo","922","2","2","1","1979","299900"
